source,target,type,vlookup source,vlookup target
1,140,solid,Sophia Aram,Radio France
3,115,solid,Jacques Attali,La République en marche !
3,139,solid,Jacques Attali,Parti socialiste
4,139,solid,Martine Aubry,Parti socialiste
5,118,solid,Clémentine Autain,Fondation Copernic
5,138,solid,Clémentine Autain,Parti de gauche
5,138,solid,Clémentine Autain,Parti de gauche
5,144,dotted,Clémentine Autain,UNEF
6,139,solid,Jean-Marc Ayrault,Parti socialiste
8,137,dotted,Étienne Balibar,Parti communiste français
3,122,solid,Jacques Attali,L'Express
10,139,solid,Claude Bartolone,Parti socialiste
30,117,solid,Caroline De Haas,Europe Écologie Les Verts
11,141,dotted,Delphine Batho,SOS Racisme
35,117,solid,Cécile Duflot,Europe Écologie Les Verts
13,115,solid,François Bayrou,La République en marche !
44,117,solid,Christophe Girard,Europe Écologie Les Verts
15,139,solid,Pierre Bergé,Parti socialiste
16,136,solid,Olivier Besancenot,Nouveau Parti anticapitaliste
17,139,solid,Malek Boutih,Parti socialiste
17,141,solid,Malek Boutih,SOS Racisme
18,109,solid,José Bové,ATTAC
27,117,solid,Daniel Cohn-Bendit,Europe Écologie Les Verts
19,137,dotted,Patrick Braouezec,Parti communiste français
19,138,solid,Patrick Braouezec,Parti de gauche
21,139,solid,Jean-Christophe Cambadélis,Parti socialiste
21,144,dotted,Jean-Christophe Cambadélis,UNEF
22,120,dotted,Aymeric Caron,France Télévisions
23,139,solid,Bernard Cazeneuve,Parti socialiste
24,139,solid,Jean-Pierre Chevènement,Parti socialiste
25,140,solid,Pascale Clark,Radio France
26,140,solid,Patrick Cohen,Radio France
11,117,solid,Delphine Batho,Europe Écologie Les Verts
28,108,solid,Emmanuelle Cosse,Act Up-Paris
12,117,solid,Denis Baupin,Europe Écologie Les Verts
29,124,solid,Jean Daniel,L'Obs
31,115,solid,Bertrand Delanoë,La République en marche !
31,139,solid,Bertrand Delanoë,Parti socialiste
32,139,solid,Jacques Delors,Parti socialiste
34,114,solid,Julien Dray,CRIF
34,136,solid,Julien Dray,Nouveau Parti anticapitaliste
34,139,solid,Julien Dray,Parti socialiste
34,141,solid,Julien Dray,SOS Racisme
34,144,dotted,Julien Dray,UNEF
28,117,solid,Emmanuelle Cosse,Europe Écologie Les Verts
36,120,dotted,Ruth Elkrief,France Télévisions
37,120,solid,Delphine Ernotte,France Télévisions
38,139,solid,Laurent Fabius,Parti socialiste
39,135,solid,Éric Fassin,Ministère de l'Éducation nationale
40,115,solid,Richard Ferrand,La République en marche !
40,139,dotted,Richard Ferrand,Parti socialiste
41,139,solid,Aurélie Filippetti,Parti socialiste
42,136,dotted,Gérard Filoche,Nouveau Parti anticapitaliste
42,139,solid,Gérard Filoche,Parti socialiste
44,108,solid,Christophe Girard,Act Up-Paris
14,117,solid,Esther Benbassa,Europe Écologie Les Verts
46,111,solid,Nicolas Gougain,CNCDH
47,115,solid,Sylvie Goulard,La République en marche !
48,139,solid,Élisabeth Guigou,Parti socialiste
50,139,solid,Benoît Hamon,Parti socialiste
50,141,dotted,Benoît Hamon,SOS Racisme
50,144,dotted,Benoît Hamon,UNEF
52,131,dotted,Anne Hidalgo,Ligue des droits de l'Homme
52,139,solid,Anne Hidalgo,Parti socialiste
53,139,solid,Martin Hirsch,Parti socialiste
54,139,solid,François Hollande,Parti socialiste
55,138,solid,Jean-Paul Huchon,Parti de gauche
56,115,solid,Robert Hue,La République en marche !
56,137,solid,Robert Hue,Parti communiste français
57,132,solid,Alain Jakubowicz,LICRA
58,124,dotted,Laurent Joffrin,L'Obs
58,130,solid,Laurent Joffrin,Libération
59,117,solid,Eva Joly,Europe Écologie Les Verts
60,139,solid,Lionel Jospin,Parti socialiste
