id,type,name,url,weigth
1,people,Sophia Aram,,
2,people,Claude Askolovitch,,
3,people,Jacques Attali,,
4,people,Martine Aubry,,
5,people,Clémentine Autain,,
6,people,Jean-Marc Ayrault,,
7,people,Alain Badiou,,
8,people,Étienne Balibar,,
9,people,Christophe Barbier,,
10,people,Claude Bartolone,,
11,people,Delphine Batho,,
12,people,Denis Baupin,,
13,people,François Bayrou,,
14,people,Esther Benbassa,,
15,people,Pierre Bergé,,
16,people,Olivier Besancenot,,
17,people,Malek Boutih,,
18,people,José Bové,,
19,people,Patrick Braouezec,,
20,people,Jérôme Cahuzac,,
21,people,Jean-Christophe Cambadélis,,
22,people,Aymeric Caron,,
23,people,Bernard Cazeneuve,,
24,people,Jean-Pierre Chevènement,,
25,people,Pascale Clark,,
26,people,Patrick Cohen,,
27,people,Daniel Cohn-Bendit,,
28,people,Emmanuelle Cosse,,
29,people,Jean Daniel,,
30,people,Caroline De Haas,,
31,people,Bertrand Delanoë,,
32,people,Jacques Delors,,
33,people,Rokhaya Diallo,,
34,people,Julien Dray,,
35,people,Cécile Duflot,,
36,people,Ruth Elkrief,,
37,people,Delphine Ernotte,,
38,people,Laurent Fabius,,
39,people,Éric Fassin,,
40,people,Richard Ferrand,,
41,people,Aurélie Filippetti,,
42,people,Gérard Filoche,,
43,people,Caroline Fourest,,
44,people,Christophe Girard,,
45,people,Raphaël Glucksmann,,
46,people,Nicolas Gougain,,
47,people,Sylvie Goulard,,
48,people,Élisabeth Guigou,,
49,people,Thomas Guénolé,,
50,people,Benoît Hamon,,
51,people,Adeline Hazan,,
52,people,Anne Hidalgo,,
53,people,Martin Hirsch,,
54,people,François Hollande,,
55,people,Jean-Paul Huchon,,
56,people,Robert Hue,,
57,people,Alain Jakubowicz,,
58,people,Laurent Joffrin,,
59,people,Eva Joly,,
60,people,Lionel Jospin,,
61,people,Jean-François Kahn,,
62,people,Arno Klarsfeld,,
63,people,Patrick Klugman,,
64,people,Bernard Kouchner,,
65,people,Alain Krivine,,
66,people,Pascal Lamy,,
67,people,Jack Lang,,
68,people,Anne Lauvergeon,,
69,people,Hervé Le Bras,,
70,people,Marie-Noëlle Lienemann,,
71,people,Bernard-Henri Lévy,,
72,people,Emmanuel Macron,,
73,people,Noël Mamère,,
74,people,Daniel Mermet,,
75,people,Jean-Pierre Michel,,
76,people,Alain Minc,,
77,people,Frédéric Mion,,
78,people,Frédéric Mitterrand,,
79,people,Yann Moix,,
80,people,Arnaud Montebourg,,
81,people,Edgar Morin,,
82,people,Pierre Moscovici,,
83,people,Jean-Luc Mélenchon,,
84,people,Vincent Peillon,,
85,people,Matthieu Pigasse,,
86,people,Thomas Piketty,,
87,people,Jean-Vincent Placé,,
88,people,Edwy Plenel,,
89,people,Philippe Poutou,,
90,people,Audrey Pulvar,,
91,people,François Rebsamen,,
92,people,Laurence Rossignol,,
93,people,Ségolène Royal,,
94,people,Laurent Ruquier,,
95,people,Michel Sapin,,
96,people,Louis Schweitzer,,
97,people,Dominique Sopo,,
98,people,Benjamin Stora,,
99,people,Dominique Strauss-Kahn,,
100,people,Christiane Taubira,,
101,people,Louis-Georges Tin,,
102,people,Marisol Touraine,,
103,people,Philippe Val,,
104,people,Najat Vallaud-Belkacem,,
105,people,Manuel Valls,,
106,people,Fiammetta Venner,,
107,people,Dominique Voynet,,
108,organization,Act Up-Paris,,
109,organization,ATTAC,,
110,organization,Charlie Hebdo,,
111,organization,CNCDH,,
112,organization,CGT,,
113,organization,CRAN,,
114,organization,CRIF,,
115,organization,En Marche !,,
116,organization,Esprit (revue),,
117,organization,Europe Écologie Les Verts,,
118,organization,Fondation Copernic,,
119,organization,Fondation Jean-Jaurès,,
120,organization,France Télévisions,,
121,organization,Grand Orient de France,,
122,organization,L'Express,,
123,organization,L'Humanité,,
124,organization,L'Obs,,
126,organization,La République des idées,,
127,organization,Le Monde,,
128,organization,Le Monde diplomatique,,
129,organization,Les Lettres Françaises,,
130,organization,Libération,,
131,organization,Ligue des droits de l'Homme,,
132,organization,LICRA,,
133,organization,LMDE,,
134,organization,Mediapart,,
135,organization,Ministère de l'Éducation nationale,,
136,organization,Nouveau Parti anticapitaliste,,
137,organization,Parti communiste français,,
138,organization,Parti de gauche,,
139,organization,Parti socialiste,,
140,organization,Radio France,,
141,organization,SOS Racisme,,
142,organization,Syndicat de la magistrature,,
143,organization,Terra Nova,,
144,organization,UNEF,,
145,organization,UOIF,,
146,organization,UEJF,,
147,people,Christophe Castaner,,
148,people,Marlène Schiappa,,
149,people,Jean-Paul Delevoye,,
150,organization,Marianne,,
151,organization,Inter-LGBT,,
152,organization,French-American Foundation,,
153,organization,Le Siècle,,
154,people,Anne Sinclair,,
155,people,Fadela Amara,,
156,people,Édouard Philippe,,
